id,sehir,yas,tarih,korumaemri,neden1,neden2,katil1,katil2,oldurmeyolu1,oldurmeyolu2,oldurmeyolu3,katildurumu,yil
25, Artvin ,, 03/05/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Tespit Edilemeyen,2015
26, Aydin ,, 03/06/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,, Tespit Edilemeyen,2015
27, Aydin , Resit , 03/09/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2015
28, Balikesir ,Resit, 03/10/2015 ,   Yok ,Kiskanclik,,Eski Nisanlisi,,Atesli Silah,,,,2015
29, Balikesir , Resit , 03/11/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Tespit Edilemeyen,,, Tutuklu ,2015
30, Balikesir ,, 03/12/2015 ,   Yok ,Tespit Edilemeyen,,Oglu,,Kesici Alet,,, Tutuklu ,2015
31, Balikesir ,, 03/12/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2015
32, Bingol , Resit , 04/03/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Tutuklu ,2015
33, Bingol , Resit , 04/03/2015 ,   Var ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Intihar ,2015
34, Bitlis ,, 04/03/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,, Kacak ,2015
35, Burdur , Resit , 04/06/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2015
36, Bursa , Resit , 04/09/2015 ,   Yok ,Tartisma,,Oglu,,Kesici Alet,,, Tutuklu ,2015
37, Bursa , Resit , 04/10/2015 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
38, Bursa , Resit , 04/10/2015 ,   Yok ,Reddedilme,,Amcasi,,Kesici Alet,,, Tutuklu ,2015
39, Bursa , Resit , 04/11/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2015
40, Bursa , Resit , 04/11/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Bogulma,,, Tutuklu ,2015
41, Bursa , Resit , 04/11/2015 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
42, Bursa ,, 04/12/2015 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
43, Bursa , Resit , 04/12/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2015
44, Bursa ,, 05/01/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,,Tespit Edilemeyen,2015
45, Canakkale , Resit , 05/02/2015 ,   Yok ,Tartisma ,Bosanma Talebi,Kocasi,,Kesici Alet,,,Tespit Edilemeyen,2015
46, Canakkale , Resit , 05/02/2015 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2015
47, Canakkale , Resit , 05/02/2015 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2015
48, Corum ,, 05/03/2015 ,Tespit Edilemeyen,Tespit Edilemeyen,,Tespit Edilemeyen,,Darp,,, Tespit Edilemeyen,2015
49, Denizli ,, 05/04/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2015
50, Diyarbakir , Resit , 05/10/2015 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
51, Diyarbakir , Resit , 06/02/2015 ,   Yok ,Tespit Edilemeyen,,Amcasi,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2015
52, Diyarbakir , Resit Degil , 06/02/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2015
53, Diyarbakir ,, 06/03/2015 ,   Yok ,Tartisma,Aldatma Suphesi,Kocasi,,Atesli Silah,,, Tutuklu ,2015
54, Duzce , Resit , 06/04/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Intihar ,2015
55, Edirne , Resit , 06/05/2015 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
56, Edirne ,, 06/05/2015 ,   Yok ,Tespit Edilemeyen,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2015
57, Elazig , Resit , 06/07/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
58, Elazig , Resit , 06/09/2015 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2015
59, Elazig ,, 06/09/2015 ,   Var ,Tartisma,,Oglu,,Darp,,, Araniyor ,2015
60, Elazig ,, 06/09/2015 ,   Yok ,Tespit Edilemeyen,,Babasi,,Kesici Alet,,, Tutuklu ,2015
61, Eskisehir ,, 06/12/2015 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
62, Eskisehir , Resit , 06/12/2015 ,   Var  ,Kiskanclik,,Eski Kocasi,,Kesici Alet,,, Tutuklu ,2015
63, Gaziantep , Resit , 07/02/2015 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2015
64, Gaziantep ,, 07/03/2015 ,   Yok ,Kiskanclik,,Eski Kocasi,,Atesli Silah,,, Kacak ,2015
65, Gaziantep , Resit , 07/06/2015 ,   Yok ,Tartisma,,Oglu,,Kesici Alet,,, Tutuklu ,2015
66, Gaziantep ,Resit Degil, 07/08/2015 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Babasi,,Tespit Edilemeyen,,,,2015
67, Gaziantep , Resit , 07/08/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2015
68, Gaziantep ,, 07/09/2015 ,   Yok ,Tartisma,,Akrabasi,,Kesici Alet,,, Tutuklu ,2015
69, Gaziantep ,Resit, 07/09/2015 ,   Yok ,Reddedilme,,Eski Sevgilisi,,Atesli Silah,,,,2015
70, Gaziantep ,Resit, 07/09/2015 ,   Yok ,Namus,,Babasi,,Atesli Silah,,,,2015
71, Gaziantep , Resit Degil , 07/09/2015 ,   Yok ,Tespit Edilemeyen,,Babasi,,Darp,,, Tutuklu ,2015
72, Gaziantep ,, 07/09/2015 ,   Yok ,Tartisma,,Kocasi,,Yuksekten Dusme,,, Tutuklu ,2015
73, Hatay ,, 07/11/2015 ,   Yok ,Reddedilme,,Eski Kocasi,,Kesici Alet,,, Tutuklu ,2015
74, Istanbul , Resit , 08/07/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
75, Istanbul , Resit , 08/09/2015 ,   Yok ,Para,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2015
1105, Istanbul , Resit , 08/10/2015 ,   Yok ,Haset,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2015
1106, Istanbul ,, 08/11/2015 ,   Yok ,Tartisma,,Tanidigi Birisi,,Kesici Alet,Darp,, Tutuklu ,2015
1107, Istanbul , Resit , 08/12/2015 ,   Yok ,Tespit Edilemeyen,,Kardesi,,Kesici Alet,,, Tutuklu ,2015
1108, Istanbul , Resit , 09/01/2015 ,   Yok ,Husumet ,Tartisma,Akrabasi,,Darp,Bogulma,Yakılma, Tutuklu ,2015
1109, Istanbul ,, 09/02/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2015
1110, Istanbul , Resit , 09/04/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2015
1111, Istanbul , Resit , 09/05/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Tespit Edilemeyen,2015
1112, Istanbul , Resit , 09/05/2015 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Intihar ,2015
1113, Istanbul ,, 09/07/2015 ,   Tespit Edilemeyen,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2015
1114, Istanbul ,Resit, 09/09/2015 ,   Yok ,Reddedilme,,Eski Kocasi,,Bogulma,,,,2015
1115, Istanbul , Resit Degil , 10/01/2015 ,   Yok ,Bosanma Talebi,,Babasi,,Atesli Silah,,, Intihar ,2015
1116, Istanbul , Resit , 10/02/2015 ,   Yok ,Hirsizlik,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2015
1117, Istanbul , Resit , 10/02/2015 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Intihar ,2015
1118, Istanbul , Resit , 10/02/2015 ,   Yok ,Tespit Edilemeyen,,Oglu,,Atesli Silah,,, Intihar ,2015
1119, Istanbul , Resit , 10/04/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,,Tespit Edilemeyen,2015
1120, Istanbul ,, 10/04/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Tutuklu ,2015
1121, Istanbul , Resit , 10/05/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Intihar ,2015
1122, Istanbul , Resit Degil , 10/06/2015 ,   Yok ,Tespit Edilemeyen,,Babasi,,Bogulma,,,Sorusturma Suruyor,2015
1123, Istanbul ,, 10/08/2015 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Kesici Alet,,, Araniyor ,2015
1124, Istanbul ,Resit, 10/12/2015 ,   Tespit Edilemeyen ,Para,,Oglu,,Iskence,,,,2015
1125, Izmir ,Resit, 11/01/2015 ,   Tespit Edilemeyen ,Kiskanclik,,Kocasi,,Kesici Alet,,,,2015
1126, Izmir ,, 11/06/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
1127, Izmir ,, 11/06/2015 ,   Yok ,Ayrilik Talebi,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2015
1128, Izmir ,, 11/09/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Darp,,, Tespit Edilemeyen,2015
1129, Izmir ,Resit, 11/09/2015 ,   Tespit Edilemeyen ,Namus,,Ailesi,Kocasi,Bogulma,,,,2015
1130, Izmir ,, 11/11/2015 ,   Yok ,Ayrilik Talebi,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2015
1131, Izmir , Tespit Edilemeyen , 12/01/2015 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yakilma,,, Sorusturma Suruyor ,2015
1132, Izmir ,, 12/01/2015 ,   Yok ,Tespit Edilemeyen,,Amcasi,,Atesli Silah,,, Intihar ,2015
1133, Izmir ,, 12/01/2015 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2015
1134, Kars , Resit , 12/09/2015 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
1135, Kayseri ,, 12/11/2015 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Intihar ,2015
1136, Kayseri , Resit , 12/12/2015 ,   Yok ,Tespit Edilemeyen,,Oglu,,Atesli Silah,,, Tutuklu ,2015
1137, Kayseri , Resit , 12/12/2015 ,   Yok ,Ayrilik Talebi,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2015
1138, Edirne , Resit , 13/01/2015 ,   Yok ,Tartisma,,Babasi,,Darp,,, Tutuklu ,2015
1139, Kirikkale , Resit , 13/03/2015 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Intihar ,2015
1140, Kirsehir , Resit , 13/05/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Darp,,, Sorusturma Suruyor ,2015
1141, Kocaeli ,, 13/06/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Intihar ,2015
1142, Kocaeli , Resit , 13/08/2015 ,   Yok ,Tartisma,,Uvey Oglu,,Kesici Alet,,, Tutuklu ,2015
1143, Kocaeli , Resit , 13/08/2015 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
1144, Kocaeli ,, 13/08/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2015
1145, Konya , Resit , 13/12/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Sorusturma Suruyor ,2015
1146, Konya ,, 13/12/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Intihar ,2015
1147, Konya , Resit , 13/12/2015 ,   Yok ,Kiskanclik,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2015
1148, Konya , Resit , 13/12/2015 ,   Yok ,Aldatma,,Kocasi,,Atesli Silah,,, Intihar ,2015
1149, Konya , Resit , 14/02/2015 ,   Yok ,Bosanma Talebi,Kendi hayatina karar vermek istemesi,Kocasi,,Atesli Silah,,, Tutuklu ,2015
1150, Konya ,, 14/02/2015 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2015
1151, Konya , Resit , 14/02/2015 ,   Yok ,Tartisma,,Kocasinin Kardesi,,Kesici Alet,,, Tutuklu ,2015
1152, Kutahya , Resit , 14/07/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2015
1153, Kutahya , Resit , 14/07/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
1154, Kutahya , Resit , 14/07/2015 ,   Yok ,Tartisma,,Sevgilisi,,Bogulma,,, Tutuklu ,2015
1155, Kutahya ,, 14/07/2015 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Intihar ,2015
1156, Malatya ,, 14/09/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
1157, Malatya , Resit , 14/09/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2015
1158, Malatya , Resit , 14/09/2015 ,   Yok ,Husumet,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2015
1159, Manisa , Resit , 14/10/2015 ,   Yok ,Aldatilma Suphesi,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2015
1160, Manisa ,, 14/11/2015 ,   Yok ,Aldatilma Suphesi,,Kocasi,,Kesici Alet,,, Intihar,2015
1161, Manisa , Resit , 14/12/2015 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Intihar ,2015
1162, Manisa ,, 15/01/2015 ,   Yok ,Kiskanclik,,Tanidigi Birisi,,Kesici Alet,,, Tutuklu ,2015
1163, Manisa , Resit , 15/01/2015 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Tespit Edilemeyen,,, Tutuklu ,2015
1164, Manisa ,, 15/01/2015 ,   Tespit Edilemeyen,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2015
1165, Mersin ,, 15/03/2015 ,   Yok ,Ayrilik Talebi,,Eski Sevgilisi,,Kesici Alet,,, Intihar ,2015
1166, Mersin ,, 15/03/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2015
1167, Mersin , Resit , 15/04/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2015
1168, Mersin ,Resit, 15/05/2015 ,   Yok ,Kriz ve Issizlik,,Kocasi,,Iskence,,,,2015
1169, Mersin ,, 15/05/2015 ,   Yok ,Tespit Edilemeyen,,Oglu,,Kesici Alet,,, Tutuklu ,2015
1170, Mersin , Resit , 15/06/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,, Tespit Edilemeyen,2015
1171, Mersin ,, 15/06/2015 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Darp,Bogulma,, Tutuklu ,2015
1172, Mersin , Resit , 15/06/2015 ,   Yok ,Kiskanclik,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2015
1173, Nevsehir ,Resit, 15/12/2015 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Sevgilisi,,Bogulma,,,,2015
1174, Nevsehir , Resit , 15/12/2015 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
1175, Ordu , Resit , 16/03/2015 ,   Yok ,Para,,Tanidigi Birisi,,Tespit Edilemeyen,,, Tutuklu ,2015
1176, Ordu ,, 16/03/2015 ,   Yok ,Bosanma Talebi,,Damadi,,Atesli Silah,,, Tutuklu ,2015
1177, Osmaniye ,, 16/04/2015 ,   Yok ,Tespit Edilemeyen,,Babasi,,Atesli Silah,,, Tutuklu ,2015
1178, Osmaniye , Resit , 16/04/2015 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
1179, Sakarya ,, 16/07/2015 ,   Tespit Edilemeyen ,Kavga,,Arkadasi,,Atesli Silah,,,,2015
1180, Sakarya ,, 16/08/2015 ,   Yok ,Intikam,,Tanimadigi Birisi,,Vurucu Alet,,, Tutuklu ,2015
1181, Sakarya , Resit , 16/08/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Intihar ,2015
1182, Sakarya , Resit , 16/09/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2015
1183, Samsun ,, 16/11/2015 ,   Yok ,Tespit Edilemeyen,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2015
1184, Sanliurfa , Resit , 17/01/2015 ,   Yok ,Tartisma,,Kocasi,,Bogulma,,, Tutuklu ,2015
1185, Sanliurfa ,, 17/03/2015 ,   Yok ,Annesini Korurken,,Babasi,,Atesli Silah,,, Tutuklu ,2015
1186, Sanliurfa ,, 17/03/2015 ,   Yok ,Maganda Kursunu,,Tanimadigi Birisi,,Atesli Silah,,, Tespit Edilemeyen,2015
1187, Siirt ,, 17/04/2015 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2015
1188, Sinop ,, 17/04/2015 ,   Yok ,Gasp,,Tanimadigi Birisi,,Darp,,, Tutuklu ,2015
1189, Sinop , Resit , 17/04/2015 ,   Yok ,Tartisma,,Tanidigi Birisi,,Kesici Alet,,, Tutuklu ,2015
1190, Sivas , Resit , 17/06/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2015
1191, Tekirdag , Resit , 17/08/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2015
1192, Tekirdag ,, 17/09/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Tespit Edilemeyen,2015
1193, Tokat ,, 17/10/2015 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2015
1194, Trabzon ,, 17/12/2015 ,   Yok ,Tespit Edilemeyen,,Kardesi,,Atesli Silah,,, Tutuklu ,2015
1195, Usak , Resit , 18/01/2015 ,   Yok  ,Tespit Edilemeyen,,Tanidigi Birisi,,Tespit Edilemeyen,,, Tutuklu ,2015
1196, Usak ,, 18/01/2015 ,   Yok ,Tartisma,,Eski Kocasi,,Kesici Alet,,, Tutuklu ,2015
1197, Yalova ,, 18/02/2015 ,   Yok ,Tecavuz,,Akrabasi,,Bogulma,,, Tutuklu ,2015
1198, Yozgat ,, 18/03/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Intihar ,2015
1199, Yozgat ,Resit, 18/03/2015 ,   Tespit Edilemeyen ,Namus,,Ailesi,,Bogulma,,,,2015
1200, Yozgat ,, 18/03/2015 ,   Yok ,Tespit Edilemeyen,,Oglu,,Atesli Silah,,, Tutuklu ,2015
1201, Zonguldak, Resit Degil , 18/04/2015 ,   Yok ,Husumet,,Tanidigi Birisi,,Atesli Silah,,,Sorusturma Suruyor,2015
1202, Zonguldak , Resit Degil , 18/04/2015 ,   Yok ,Tartisma,,Babasi,,Atesli Silah,,, Tutuklu ,2015
1203, Zonguldak ,, 18/04/2015 ,   Yok ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Akrabasi,,Tespit Edilemeyen,,,,2015
1204, Zonguldak ,, 18/05/2015 ,   Yok ,Tespit Edilemeyen,,Cocuklari,,Kesici Alet,,, Tutuklu ,2015
1205, Zonguldak ,, 18/05/2015 ,   Var ,Ayrilik,,Eski Kocasi,,Atesli Silah,,,,2015
1206, Zonguldak , Resit , 18/06/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Araniyor ,2015
1207, Zonguldak ,, 18/06/2015 ,   Yok ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Akrabasi,,Atesli Silah,,,,2015
1208, Zonguldak , Resit , 18/06/2015 ,   Yok ,Tespit Edilmeeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2015
1209,,, 18/06/2015 ,   Yok ,Tartisma,,Kocasi,,Darp,,,,2015
1210,,, 18/06/2015 ,   Yok ,Kiskanclik,,Patron,,Tespit Edilemeyen,,,,2015
1211,,, 18/07/2015 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2015
1212,,, 18/08/2015 ,   Yok ,Ayrilik,,Eski Sevgilisi,,Atesli Silah,,,,2015
1213,,, 18/12/2015 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2015
1214,,, 19/02/2015 ,   Yok ,Kiskanclik,,Kocasi,,Darp,,,,2015
1215,,, 19/03/2015 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,,,2015
1216,,, 19/04/2015 ,   Var,Reddedilme,,Tanidigi Birisi,,Atesli Silah,,,,2015
1217,,, 19/08/2015 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2015
1218,,, 19/09/2015 ,   Yok ,Kiskanclik,,Kocasi,,Bogulma,,,,2015
1219,,, 19/09/2015 ,   Yok ,Tespit Edilemeyen,,Tanimadigi Birisi,,Bogulma,,,,2015
1220,,, 19/09/2015 ,   Yok ,Tartisma,,Sevgilisi,,Darp,,,,2015
1221,,, 19/10/2015 ,   Yok ,Tespit Edilemeyen,,Babasi,,Atesli Silah,,,,2015
1222,,, 19/10/2015 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,,,2015
1223,,, 19/12/2015 ,   Yok ,Terk Edilme,,Eski Nisanlisi,,Atesli Silah,,,,2015
1224,,, 20/01/2015 ,   Var ,Bosanma Talebi,,Kocasi,,Atesli Silah,,,,2015
1225,,, 20/03/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,,2015
1226,,, 20/04/2015 ,   Yok ,Tespit Edilemeyen,,Babasi,,Atesli Silah,,,,2015
1227,,, 20/06/2015 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2015
1228,,, 20/07/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2015
1229,,, 20/08/2015 ,   Yok ,Para,,Tanidigi Birisi,,Kesici Alet,,,,2015
1230,,, 20/08/2015 ,   Yok ,Tartisma,,Tanidigi Birisi,,Bogulma,,,,2015
1231,,, 20/10/2015 ,   Yok,Bosanma,,Kocasi,,Kesici Alet,,,,2015
1232,,, 20/11/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,Darp,,,2015
1233,,, 20/11/2015 ,   Yok ,Tartisma,,Tanidigi Birisi,,Bogulma,,,,2015
1234,,, 21/01/2015 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,,,2015
